,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
214,3.3243831157684327,0.04888449304155087,0.019437694549560548,0.010271032078494753,gblinear,0.1,13,500,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 13, 'n_estimators': 500, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-281535.8695195895,-274991.6929643746,-277240.89801454573,-268082.3982381767,-278813.80221297446,-276132.9321899322,4554.556136781759,223,0.6579302984374504,0.646666576352166,0.6692445453342062,0.6166120519894918,0.6467905018671363,0.6474487947960901,0.01753206537917457,223
215,4.02586784362793,0.08242966683915057,0.012721776962280273,0.0008780050256863177,gblinear,0.1,13,700,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 13, 'n_estimators': 700, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-275791.56454057834,-269358.8305654947,-271538.8215230243,-264002.63915681397,-273664.7158719664,-270871.31433157553,4047.80992475511,205,0.6720418061729396,0.6616817330118112,0.6899230827851712,0.6270588410174238,0.6616141257871504,0.6624639177548992,0.020496805160099645,205
216,1.6098365306854248,0.43003811353109833,0.05842633247375488,0.08919675991716962,gblinear,0.2,8,250,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 250, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-280230.50042754976,-273879.28402107966,-275515.0185030336,-267538.2456829496,-277780.424684972,-274988.69466391695,4296.214216031937,217,0.6611040018452738,0.6501872653414129,0.6756609706035286,0.618410599163498,0.6499371462721524,0.6510599966451732,0.01883664284825988,217
217,1.78602294921875,0.2752697994185516,0.01391739845275879,0.0027138658571367103,gblinear,0.2,8,300,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 300, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-277246.9022465796,-270965.30785236467,-272700.0487029403,-265459.00855631614,-275145.83717719355,-272303.42090707883,4032.6462425936716,211,0.6685923529514535,0.6580981623051589,0.6864151214881631,0.6238780093490983,0.657742837718858,0.6589452967625464,0.02039379883516579,211
218,2.328458642959595,0.27032135227795734,0.023674631118774415,0.009873829318257454,gblinear,0.2,8,350,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 350, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-274488.3812966418,-268282.69177815807,-270021.12560283137,-263587.29073973245,-272657.56662258867,-269807.41120799043,3770.8144658713904,199,0.6750670389764643,0.6647210808745774,0.6960428724881709,0.6282874421483147,0.6644238886934437,0.6657084646361942,0.02195776491128461,199
219,2.648710775375366,0.15214495371089698,0.022203397750854493,0.011873600743230198,gblinear,0.2,8,400,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 400, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-271925.1191697761,-265875.786306005,-267638.3988507312,-261828.74749144368,-270341.7205973864,-267521.95448306843,3534.826021324025,193,0.680712346831911,0.6703187509225577,0.7046532019125431,0.6318912368425009,0.6701989627021454,0.6715548998423315,0.02347734749728791,193
220,3.0822433948516847,0.07385545461346954,0.02475137710571289,0.02252451520074293,gblinear,0.2,8,500,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 500, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-267627.7855254975,-261628.51804604853,-263187.48565844743,-258487.18322184193,-266182.35306471685,-263422.6651033104,3253.680065590281,187,0.6900165361081408,0.6791621755734051,0.7192634489124086,0.6373308971165242,0.6796234130377887,0.6810792941496535,0.026296848271936207,187
221,4.437502241134643,0.233737198907033,0.016472339630126953,0.006830802795088854,gblinear,0.2,8,700,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 700, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-260679.6127176617,-254788.18897790916,-255696.4092058183,-252449.4874766646,-259261.9415350809,-256575.12798262696,3001.7318096565064,169,0.7029966743281918,0.6906223547899005,0.7406424208601294,0.6438183227495267,0.6926187773888494,0.6941397100233195,0.030944708668673677,169
222,1.641723108291626,0.048876621835597364,0.02462940216064453,0.016071955335572978,gblinear,0.2,9,250,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 250, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-280230.50042754976,-273879.28402107966,-275515.0185030336,-267538.2456829496,-277780.424684972,-274988.69466391695,4296.214216031937,217,0.6611040018452738,0.6501872653414129,0.6756609706035286,0.618410599163498,0.6499371462721524,0.6510599966451732,0.01883664284825988,217
223,1.9465283393859862,0.10065229895759029,0.01913485527038574,0.008809163716184483,gblinear,0.2,9,300,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 300, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-277246.9022465796,-270965.30785236467,-272700.0487029403,-265459.00855631614,-275145.83717719355,-272303.42090707883,4032.6462425936716,211,0.6685923529514535,0.6580981623051589,0.6864151214881631,0.6238780093490983,0.657742837718858,0.6589452967625464,0.02039379883516579,211
